q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
1717,withdrawn,2020-04-15,,,,CAISO,FOXGLOVE HYBRID SOLAR,,PGAE,madera,,,CA,CAISO,Full Capacity,Borden Substation 70kV,,,Feasibility Study,Solar+Battery,Solar,Battery,,103.0,103.0,
307,withdrawn,2008-03-11,,,,CAISO,PV REDMAN-LANCASTER,,SCE,los angeles,,,CA,CAISO,,Lancaster Redman 66kV line,2009-05-01,,Feasibility Study,Solar,Solar,,,100.0,,
643C,withdrawn,2010-07-31,,,,CAISO,AUBANEL II WIND PROJECT,,SDGE,baja california,,,MX,CAISO,Energy Only,ECO Sub 230 kV Bus,,,Feasibility Study,Wind,Wind,,,540.0,,
2150,active,2021-04-15,,,,CAISO,ROUGH HAT 3,,GLW,clark,,,NV,CAISO,Full Capacity,Trout Canyon Substation 230 kV,2024-09-01,,Facility Study,Solar+Battery,Solar,Battery,,307.0,307.0,
1306,withdrawn,2016-05-02,,,,CAISO,GHOST TOWN SOLAR,,SCE,san bernardino,,,CA,CAISO,Full Capacity,Kramer 230 KV SUB,,,Feasibility Study,Solar,Solar,,,205.0,,
caiso_c15_396,active,2023-04-17,,,,CAISO,Vulcan Tertius,,SDGE,maricopa,,,WY,CAISO,,Hassayampa 500kV,2026-09-15,,In Progress (unknown study),Solar+Battery,Solar,Battery,,517.0,517.0,
1796,active,2020-04-15,,,,CAISO,DELAMAR ENERGY STORAGE,,SCE,clark,,,NV,CAISO,Full Capacity,Eldorado Substation 230kV,2024-08-01,Executed,IA Executed,Battery,Battery,,,256.0,,
611,withdrawn,2010-02-17,,,,CAISO,FAIRFAX SOLAR PROJECT,,PGAE,fresno,,,CA,CAISO,Energy Only,Oro Loma-El Nido 115kV,2012-01-01,,Feasibility Study,Solar,Solar,,,20.0,,
1523,withdrawn,2018-04-16,,,,CAISO,PORTHOS SOLAR,,SCE,riverside,,,CA,CAISO,Full Capacity,Eldorado Substation 500kV,,,System Impact Study,Solar+Battery,Solar,Battery,,900.0,900.0,
502,operational,2009-07-31,,,2016-08-23,CAISO,SILVER STATE SOUTH SOLAR PROJECT (FKA SILVER STATE SOLAR II),,SCE,clark,,,NV,CAISO,Full Capacity,Eldorado-Ivanpah 230kV line,2016-05-01,Executed,IA Executed,Solar,Solar,,,20.0,,
1799,active,2020-04-15,,,,CAISO,ROUGH HAT 2,,GLW,clark,,,NV,CAISO,Full Capacity,Trout Canyon Substation 230 kV,2024-09-30,In Progress,Facility study,Solar+Battery,Solar,Battery,,204.0,204.0,
1774,active,2020-04-15,,,,CAISO,OVERNIGHT SOLAR,,SCE,san bernardino,,,CA,CAISO,Energy Only,Kramer Substation 230kV,,In Progress,Facility study,Solar+Battery,Solar,Battery,,150.0,150.0,
caiso_c15_342,active,2023-04-17,,,,CAISO,Syrah Storage Center,,PGAE,san joaquin,,,CA,CAISO,,Bellota -Tesla 230kV,2023-12-01,,In Progress (unknown study),Battery,Battery,,,300.0,,
caiso_c15_509,active,2023-04-17,,,,CAISO,Redtail Energy Storage,,PGAE,monterey,,,CA,CAISO,,Soledad 66kV,2027-06-01,,In Progress (unknown study),Battery,Battery,,,22.0,,
