n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11
0.0,13.0,1.0,16.0,3.0,1.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,850.0,2038.8499992370605,94.0,520.0,189.0,3110.700008392334,10.0,0.0,0.0,0.0
0.0,13.0,2.0,16.0,3.0,1.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,8164.0,1251.0,2038.8499992370605,94.0,520.0,189.0,3110.700008392334,10.0,0.0,0.0,0.0
0.0,14.0,2.0,16.0,3.0,1.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,8974.0,1251.0,2038.8499992370605,94.0,520.0,189.0,3110.700008392334,10.0,0.0,0.0,0.0
0.0,14.0,2.0,16.0,3.0,1.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,8974.0,1251.0,2038.8499992370605,94.0,520.0,189.0,3111.250008404255,10.0,0.0,0.0,0.0
0.0,14.0,2.0,16.0,3.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,8974.0,1251.0,2038.8499992370605,94.0,520.0,189.0,3228.0500114560127,10.0,0.0,0.0,0.0
0.0,14.0,3.0,16.0,4.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,8974.0,1370.9,2038.8499992370605,213.9,520.0,189.0,3228.0500114560127,10.0,0.0,0.0,0.0
0.0,15.0,3.0,16.0,4.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,9608.0,1370.9,2038.8499992370605,213.9,520.0,189.0,3228.0500114560127,10.0,0.0,0.0,0.0
0.0,16.0,3.0,16.0,4.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,10323.0,1370.9,2038.8499992370605,213.9,520.0,189.0,3228.0500114560127,10.0,0.0,0.0,0.0
0.0,16.0,3.0,16.0,4.0,1.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,10323.0,1370.9,2038.8499992370605,213.9,520.0,189.0,3228.0500114560127,72.0,0.0,0.0,0.0
0.0,16.0,3.0,16.0,4.0,1.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,10323.0,1370.9,2038.8499992370605,213.9,520.0,189.0,3322.0500114560127,72.0,0.0,0.0,0.0
0.0,16.0,3.0,16.0,4.0,1.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,10323.0,1370.9,2038.8499992370605,213.9,520.0,189.0,3419.250008404255,72.0,0.0,0.0,0.0
0.0,16.0,3.0,16.0,5.0,1.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,10323.0,1370.9,2038.8499992370605,232.4,520.0,189.0,3419.250008404255,145.2699966430664,0.0,0.0,0.0
0.0,17.0,3.0,16.0,5.0,1.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,10489.5,1370.9,2038.8499992370605,232.4,520.0,189.0,3419.250008404255,145.2699966430664,0.0,0.0,0.0
0.0,18.0,3.0,16.0,5.0,1.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,10647.5,1370.9,2038.8499992370605,232.4,520.0,189.0,3419.250008404255,145.2699966430664,0.0,0.0,0.0
0.0,18.0,3.0,16.0,5.0,1.0,1.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,10647.5,1370.9,2038.8499992370605,232.4,520.0,189.0,3566.250008404255,145.2699966430664,0.0,0.0,0.0
0.0,18.0,3.0,16.0,5.0,1.0,1.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,10647.5,1370.9,2038.8499992370605,232.4,520.0,189.0,4066.750008404255,145.2699966430664,0.0,0.0,0.0
0.0,18.0,3.0,16.0,5.0,1.0,1.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,10647.5,1370.9,2038.8499992370605,232.4,520.0,189.0,4491.549996197224,145.2699966430664,0.0,0.0,0.0
