n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8
0.0,52.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,8334.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,53.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,8484.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,53.0,10.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,8484.0,2931.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,54.0,10.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,8784.0,2931.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,55.0,10.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,8967.0,2931.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,56.0,10.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,9367.0,2931.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,57.0,10.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,9437.0,2931.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,58.0,10.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,9507.0,2931.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,58.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,9507.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,59.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,9605.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,60.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,9875.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,61.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10124.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,62.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10324.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,63.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10473.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,64.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10698.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,65.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10836.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,66.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10949.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,67.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,11129.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,68.0,11.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,11338.0,3222.0,2023.0,5336.0,775.0,0.0,0.0,0.0
