n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
96.0,124.0,9.0,25806.0,38455.2,1352.0
97.0,124.0,9.0,26806.0,38455.2,1352.0
98.0,124.0,9.0,27806.0,38455.2,1352.0
99.0,124.0,9.0,27856.0,38455.2,1352.0
99.0,125.0,9.0,27856.0,38554.2,1352.0
99.0,126.0,9.0,27856.0,38954.2,1352.0
99.0,127.0,9.0,27856.0,39086.2,1352.0
99.0,128.0,9.0,27856.0,39716.2,1352.0
99.0,129.0,9.0,27856.0,40346.2,1352.0
99.0,130.0,9.0,27856.0,40980.2,1352.0
100.0,130.0,9.0,27901.0,40980.2,1352.0
101.0,130.0,9.0,28151.0,40980.2,1352.0
101.0,131.0,9.0,28151.0,41380.2,1352.0
101.0,132.0,9.0,28151.0,41780.2,1352.0
102.0,132.0,9.0,28301.0,41780.2,1352.0
103.0,132.0,9.0,28421.0,41780.2,1352.0
104.0,132.0,9.0,28649.0,41780.2,1352.0
105.0,132.0,9.0,29078.0,41780.2,1352.0
106.0,132.0,9.0,29198.0,41780.2,1352.0
107.0,132.0,9.0,29264.0,41780.2,1352.0
108.0,132.0,9.0,29369.0,41780.2,1352.0
108.0,133.0,9.0,29369.0,41847.2,1352.0
108.0,134.0,9.0,29369.0,41914.2,1352.0
109.0,134.0,9.0,29569.0,41914.2,1352.0
109.0,135.0,9.0,29569.0,41940.2,1352.0
110.0,135.0,9.0,29609.0,41940.2,1352.0
110.0,136.0,9.0,29609.0,42540.2,1352.0
111.0,136.0,9.0,29639.0,42540.2,1352.0
111.0,137.0,9.0,29639.0,42790.2,1352.0
111.0,138.0,9.0,29639.0,43365.2,1352.0
111.0,139.0,9.0,29639.0,44016.2,1352.0
111.0,140.0,9.0,29639.0,44276.2,1352.0
111.0,141.0,9.0,29639.0,44621.2,1352.0
111.0,142.0,9.0,29639.0,44725.2,1352.0
112.0,142.0,9.0,29644.0,44725.2,1352.0
112.0,143.0,9.0,29644.0,45359.2,1352.0
112.0,144.0,9.0,29644.0,45750.2,1352.0
113.0,144.0,9.0,29944.0,45750.2,1352.0
114.0,144.0,9.0,29969.0,45750.2,1352.0
114.0,145.0,9.0,29969.0,46075.2,1352.0
114.0,145.0,9.0,29969.0,45725.2,1352.0
114.0,146.0,9.0,29969.0,45870.2,1352.0
114.0,147.0,9.0,29969.0,46241.2,1352.0
115.0,147.0,10.0,30092.0,46241.2,1426.0
115.0,148.0,10.0,30092.0,46340.2,1426.0
116.0,148.0,10.0,30492.0,46340.2,1426.0
117.0,148.0,10.0,31192.0,46340.2,1426.0
117.0,149.0,10.0,31192.0,46394.2,1426.0
117.0,150.0,10.0,31192.0,47024.2,1426.0
117.0,151.0,10.0,31192.0,47674.2,1426.0
118.0,151.0,10.0,31267.0,47674.2,1426.0
118.0,149.0,10.0,31207.0,46913.2,1426.0
119.0,149.0,10.0,31247.0,46913.2,1426.0
119.0,150.0,10.0,31247.0,47413.2,1426.0
119.0,150.0,10.0,31247.0,47016.2,1426.0
119.0,151.0,10.0,31247.0,47045.2,1426.0
119.0,152.0,10.0,31247.0,47160.2,1426.0
120.0,152.0,10.0,31397.0,47160.2,1426.0
120.0,153.0,10.0,31397.0,47535.2,1426.0
120.0,154.0,10.0,31397.0,47910.2,1426.0
120.0,155.0,10.0,31397.0,48141.2,1426.0
121.0,155.0,10.0,31772.0,48141.2,1426.0
121.0,156.0,10.0,31772.0,48391.2,1426.0
121.0,157.0,10.0,31772.0,49141.2,1426.0
121.0,158.0,10.0,31772.0,49391.2,1426.0
121.0,159.0,10.0,31772.0,49396.399999999994,1426.0
122.0,159.0,11.0,32257.0,49396.399999999994,1816.0
122.0,160.0,11.0,32257.0,49696.399999999994,1816.0
122.0,161.0,11.0,32257.0,49729.399999999994,1816.0
122.0,162.0,11.0,32257.0,49795.399999999994,1816.0
122.0,163.0,11.0,32257.0,49935.399999999994,1816.0
122.0,164.0,11.0,32257.0,49962.399999999994,1816.0
122.0,165.0,11.0,32257.0,50362.399999999994,1816.0
123.0,165.0,11.0,32757.0,50362.399999999994,1816.0
124.0,165.0,11.0,32957.0,50362.399999999994,1816.0
125.0,165.0,11.0,33457.0,50362.399999999994,1816.0
126.0,165.0,11.0,33507.0,50362.399999999994,1816.0
126.0,166.0,11.0,33507.0,50973.399999999994,1816.0
127.0,166.0,11.0,33607.0,50973.399999999994,1816.0
128.0,166.0,11.0,33707.0,50973.399999999994,1816.0
129.0,166.0,11.0,33807.0,50973.399999999994,1816.0
130.0,166.0,11.0,33907.0,50973.399999999994,1816.0
131.0,166.0,11.0,34007.0,50973.399999999994,1816.0
132.0,166.0,11.0,34107.0,50973.399999999994,1816.0
133.0,166.0,11.0,34207.0,50973.399999999994,1816.0
134.0,166.0,11.0,34307.0,50973.399999999994,1816.0
135.0,166.0,11.0,34407.0,50973.399999999994,1816.0
135.0,167.0,11.0,34407.0,51173.399999999994,1816.0
136.0,167.0,11.0,34507.0,51173.399999999994,1816.0
137.0,167.0,11.0,34607.0,51173.399999999994,1816.0
138.0,167.0,11.0,34707.0,51173.399999999994,1816.0
139.0,167.0,11.0,34807.0,51173.399999999994,1816.0
139.0,168.0,11.0,34807.0,51273.399999999994,1816.0
139.0,169.0,11.0,34807.0,51884.399999999994,1816.0
140.0,169.0,11.0,34907.0,51884.399999999994,1816.0
141.0,169.0,11.0,35007.0,51884.399999999994,1816.0
142.0,169.0,11.0,35257.0,51884.399999999994,1816.0
143.0,169.0,11.0,35357.0,51884.399999999994,1816.0
144.0,169.0,11.0,35457.0,51884.399999999994,1816.0
145.0,169.0,11.0,35557.0,51884.399999999994,1816.0
146.0,169.0,11.0,35657.0,51884.399999999994,1816.0
146.0,170.0,11.0,35657.0,52115.399999999994,1816.0
146.0,171.0,11.0,35657.0,52379.399999999994,1816.0
146.0,172.0,11.0,35657.0,52412.399999999994,1816.0
146.0,173.0,11.0,35657.0,52445.399999999994,1816.0
146.0,174.0,11.0,35657.0,52709.399999999994,1816.0
146.0,175.0,11.0,35657.0,52905.399999999994,1816.0
146.0,176.0,11.0,35657.0,53004.399999999994,1816.0
147.0,176.0,11.0,35732.0,53004.399999999994,1816.0
147.0,177.0,11.0,35732.0,53014.399999999994,1816.0
147.0,178.0,11.0,35732.0,53064.399999999994,1816.0
148.0,178.0,11.0,35758.0,53064.399999999994,1816.0
149.0,178.0,11.0,35778.0,53064.399999999994,1816.0
149.0,179.0,11.0,35778.0,53589.399999999994,1816.0
149.0,180.0,11.0,35778.0,53638.399999999994,1816.0
150.0,180.0,11.0,35818.0,53638.399999999994,1816.0
151.0,180.0,11.0,35898.0,53638.399999999994,1816.0
151.0,181.0,11.0,35898.0,53687.399999999994,1816.0
152.0,181.0,11.0,35928.0,53687.399999999994,1816.0
153.0,181.0,11.0,35978.0,53687.399999999994,1816.0
153.0,182.0,11.0,35978.0,53736.399999999994,1816.0
154.0,182.0,11.0,36018.0,53736.399999999994,1816.0
155.0,182.0,11.0,36058.0,53736.399999999994,1816.0
155.0,183.0,11.0,36058.0,53785.399999999994,1816.0
156.0,183.0,11.0,36158.0,53785.399999999994,1816.0
157.0,183.0,11.0,36198.0,53785.399999999994,1816.0
158.0,183.0,11.0,36298.0,53785.399999999994,1816.0
159.0,183.0,11.0,36398.0,53785.399999999994,1816.0
159.0,184.0,11.0,36398.0,53985.399999999994,1816.0
160.0,184.0,11.0,36748.0,53985.399999999994,1816.0
160.0,185.0,11.0,36748.0,54285.399999999994,1816.0
160.0,186.0,11.0,36748.0,54485.399999999994,1816.0
161.0,186.0,11.0,37448.0,54485.399999999994,1816.0
162.0,186.0,11.0,38148.0,54485.399999999994,1816.0
163.0,186.0,11.0,38198.0,54485.399999999994,1816.0
163.0,187.0,11.0,38198.0,54601.399999999994,1816.0
164.0,187.0,12.0,38655.0,54601.399999999994,1866.0
164.0,188.0,12.0,38655.0,54751.399999999994,1866.0
165.0,188.0,12.0,39955.0,54751.399999999994,1866.0
165.0,189.0,12.0,39955.0,55141.399999999994,1866.0
166.0,189.0,12.0,39975.0,55141.399999999994,1866.0
166.0,190.0,12.0,39975.0,55479.399999999994,1866.0
166.0,191.0,12.0,39975.0,55528.399999999994,1866.0
166.0,192.0,12.0,39975.0,55843.399999999994,1866.0
166.0,193.0,13.0,39975.0,55963.399999999994,1869.0
166.0,194.0,13.0,39975.0,56013.399999999994,1869.0
166.0,195.0,13.0,39975.0,56613.399999999994,1869.0
166.0,196.0,13.0,39975.0,57225.399999999994,1869.0
166.0,197.0,13.0,39975.0,57825.399999999994,1869.0
166.0,198.0,13.0,39975.0,57970.399999999994,1869.0
166.0,199.0,13.0,39975.0,58570.399999999994,1869.0
166.0,200.0,13.0,39975.0,58631.399999999994,1869.0
166.0,201.0,13.0,39975.0,58871.399999999994,1869.0
166.0,202.0,13.0,39975.0,58956.399999999994,1869.0
166.0,203.0,13.0,39975.0,59009.399999999994,1869.0
166.0,204.0,13.0,39975.0,59024.399999999994,1869.0
166.0,205.0,13.0,39975.0,59039.399999999994,1869.0
166.0,206.0,13.0,39975.0,59100.399999999994,1869.0
