n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,n_type_13,n_type_14,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11,mw_type_12,mw_type_13
0.0,49.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23914.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,50.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23944.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,51.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24444.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,52.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24894.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,53.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25344.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,54.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25884.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,55.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26563.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,56.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26961.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,57.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27041.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,58.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27781.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
