n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
11.0,194.0,0.0,572.0,71195.20000000001,0.0
11.0,195.0,0.0,572.0,71205.20000000001,0.0
11.0,196.0,0.0,572.0,71730.20000000001,0.0
11.0,197.0,0.0,572.0,72255.20000000001,0.0
11.0,198.0,0.0,572.0,72330.20000000001,0.0
11.0,199.0,0.0,572.0,73240.20000000001,0.0
11.0,200.0,0.0,572.0,73250.20000000001,0.0
11.0,201.0,0.0,572.0,73282.20000000001,0.0
11.0,196.0,0.0,572.0,71327.20000000001,0.0
11.0,196.0,0.0,572.0,71327.20000000001,0.0
12.0,195.0,0.0,589.0,71012.20000000001,0.0
13.0,195.0,0.0,739.0,71012.20000000001,0.0
13.0,196.0,0.0,739.0,71612.20000000001,0.0
13.0,196.0,0.0,739.0,71612.20000000001,0.0
13.0,196.0,0.0,739.0,71612.20000000001,0.0
13.0,196.0,0.0,739.0,70962.20000000001,0.0
13.0,197.0,0.0,739.0,70987.20000000001,0.0
13.0,198.0,0.0,739.0,71187.20000000001,0.0
13.0,197.0,0.0,739.0,70953.20000000001,0.0
13.0,198.0,0.0,739.0,71253.20000000001,0.0
13.0,199.0,0.0,739.0,71888.20000000001,0.0
13.0,199.0,0.0,739.0,71948.20000000001,0.0
13.0,200.0,0.0,739.0,72448.20000000001,0.0
13.0,201.0,0.0,739.0,72458.20000000001,0.0
13.0,201.0,0.0,739.0,72209.20000000001,0.0
13.0,202.0,0.0,739.0,73269.20000000001,0.0
13.0,200.0,0.0,739.0,72931.20000000001,0.0
13.0,201.0,0.0,739.0,73451.20000000001,0.0
13.0,202.0,0.0,739.0,74016.20000000001,0.0
13.0,189.0,0.0,739.0,70034.20000000001,0.0
13.0,189.0,0.0,739.0,70034.20000000001,0.0
13.0,189.0,0.0,739.0,70034.20000000001,0.0
13.0,187.0,0.0,739.0,68909.20000000001,0.0
13.0,188.0,0.0,739.0,68912.70000000001,0.0
13.0,189.0,0.0,739.0,69012.70000000001,0.0
14.0,186.0,0.0,1039.0,67282.70000000001,0.0
14.0,187.0,0.0,1039.0,67323.70000000001,0.0
14.0,188.0,0.0,1039.0,67623.70000000001,0.0
15.0,188.0,0.0,1049.0,67623.70000000001,0.0
16.0,188.0,0.0,1149.0,67623.70000000001,0.0
16.0,189.0,0.0,1149.0,67973.70000000001,0.0
16.0,190.0,0.0,1149.0,67974.70000000001,0.0
16.0,191.0,0.0,1149.0,68549.70000000001,0.0
16.0,192.0,0.0,1149.0,68574.70000000001,0.0
16.0,193.0,0.0,1149.0,69074.70000000001,0.0
16.0,194.0,0.0,1149.0,69326.70000000001,0.0
17.0,193.0,0.0,1156.5,68561.70000000001,0.0
17.0,194.0,0.0,1156.5,68596.70000000001,0.0
17.0,192.0,0.0,1156.5,67291.70000000001,0.0
17.0,190.0,0.0,1156.5,66341.70000000001,0.0
18.0,188.0,0.0,1196.5,66257.70000000001,0.0
19.0,186.0,0.0,1241.5,65257.70000000001,0.0
17.0,185.0,0.0,1119.5,64342.70000000001,0.0
17.0,185.0,0.0,1119.5,63793.40000000001,0.0
17.0,180.0,0.0,1119.5,63774.40000000001,0.0
17.0,181.0,0.0,1119.5,64644.40000000001,0.0
18.0,175.0,0.0,1371.5,63033.40000000001,0.0
18.0,168.0,0.0,1371.5,61314.50000000001,0.0
18.0,161.0,0.0,1371.5,58900.30000000001,0.0
18.0,156.0,0.0,1371.5,57429.30000000001,0.0
19.0,156.0,0.0,1400.5,57429.30000000001,0.0
20.0,156.0,0.0,1441.5,57429.30000000001,0.0
20.0,157.0,0.0,1441.5,57439.20000000001,0.0
20.0,158.0,0.0,1441.5,57449.10000000001,0.0
20.0,159.0,0.0,1441.5,57453.20000000001,0.0
20.0,160.0,0.0,1441.5,57463.10000000001,0.0
20.0,161.0,0.0,1441.5,57473.000000000015,0.0
20.0,162.0,0.0,1441.5,57482.900000000016,0.0
20.0,163.0,0.0,1441.5,57492.80000000002,0.0
21.0,161.0,0.0,1482.5,55932.80000000002,0.0
21.0,161.0,0.0,1482.5,55932.80000000002,0.0
21.0,162.0,0.0,1482.5,55947.80000000002,0.0
21.0,162.0,0.0,1482.5,55947.80000000002,0.0
21.0,159.0,0.0,1482.5,54915.80000000002,0.0
22.0,155.0,0.0,1486.5,53477.80000000002,0.0
22.0,155.0,0.0,1486.5,53475.80000000002,0.0
23.0,155.0,0.0,1511.5,53475.80000000002,0.0
24.0,155.0,0.0,1545.5,53475.80000000002,0.0
24.0,156.0,0.0,1545.5,53483.80000000002,0.0
23.0,153.0,0.0,1519.5,51750.80000000002,0.0
24.0,153.0,0.0,1674.5,51750.80000000002,0.0
24.0,153.0,0.0,1674.5,51750.80000000002,0.0
22.0,140.0,0.0,1649.5,44533.80000000002,0.0
22.0,139.0,0.0,1649.5,44527.30000000002,0.0
22.0,139.0,0.0,1649.5,44527.30000000002,0.0
22.0,138.0,0.0,1649.5,43793.400000000016,0.0
22.0,134.0,0.0,1649.5,43311.80000000001,0.0
22.0,134.0,0.0,1649.5,43311.80000000001,0.0
23.0,134.0,0.0,1719.5,43311.80000000001,0.0
24.0,134.0,0.0,1799.5,43311.80000000001,0.0
25.0,134.0,0.0,1839.5,43311.80000000001,0.0
26.0,128.0,0.0,1919.5,41748.90000000001,0.0
27.0,128.0,0.0,1999.5,41748.90000000001,0.0
27.0,129.0,0.0,1999.5,41754.00000000001,0.0
27.0,130.0,0.0,1999.5,41754.12000000001,0.0
26.0,123.0,0.0,1909.5,39473.72000000001,0.0
26.0,124.0,0.0,1909.5,39478.72000000001,0.0
26.0,123.0,0.0,2033.5,39443.72000000001,0.0
26.0,124.0,0.0,2033.5,39443.72000000001,0.0
27.0,115.0,0.0,2067.5,38038.100000000006,0.0
27.0,111.0,0.0,2027.5,36963.100000000006,0.0
28.0,110.0,0.0,2027.5,36491.100000000006,0.0
29.0,110.0,0.0,2027.5,36491.100000000006,0.0
30.0,110.0,0.0,2041.5,36491.100000000006,0.0
31.0,110.0,0.0,2041.5,36491.100000000006,0.0
31.0,111.0,0.0,2041.5,36491.100000000006,0.0
32.0,111.0,0.0,2041.5,36491.100000000006,0.0
32.0,112.0,0.0,2041.5,36491.100000000006,0.0
33.0,112.0,0.0,2041.5,36491.100000000006,0.0
34.0,112.0,0.0,2041.5,36491.100000000006,0.0
35.0,112.0,0.0,2041.5,36491.100000000006,0.0
36.0,112.0,0.0,2041.5,36491.100000000006,0.0
37.0,112.0,0.0,2041.5,36491.100000000006,0.0
38.0,112.0,0.0,2041.5,36491.100000000006,0.0
39.0,112.0,0.0,2041.5,36491.100000000006,0.0
40.0,112.0,0.0,2041.5,36491.100000000006,0.0
40.0,112.0,0.0,2041.5,36491.100000000006,0.0
41.0,112.0,0.0,2041.5,36491.100000000006,0.0
42.0,111.0,0.0,2041.5,36483.100000000006,0.0
43.0,111.0,0.0,2041.5,36483.100000000006,0.0
43.0,111.0,0.0,2041.5,37453.100000000006,0.0
44.0,110.0,0.0,2056.5,36928.100000000006,0.0
45.0,109.0,0.0,2221.5,36928.100000000006,0.0
44.0,110.0,0.0,2061.5,36928.90000000001,0.0
44.0,111.0,0.0,2061.5,36930.40000000001,0.0
45.0,108.0,0.0,2121.5,36491.40000000001,0.0
46.0,108.0,0.0,2146.5,36491.40000000001,0.0
47.0,107.0,0.0,2296.5,36191.40000000001,0.0
47.0,107.0,0.0,2296.5,36191.40000000001,0.0
48.0,107.0,0.0,2339.5,36191.40000000001,0.0
47.0,107.0,0.0,2298.5,35959.40000000001,0.0
48.0,107.0,0.0,2300.5,35959.40000000001,0.0
48.0,108.0,0.0,2300.5,36479.40000000001,0.0
47.0,108.0,0.0,2204.4,36479.40000000001,0.0
46.0,109.0,0.0,2174.4,36485.600000000006,0.0
47.0,109.0,0.0,2194.4,36485.600000000006,0.0
48.0,109.0,0.0,2273.4,36485.600000000006,0.0
49.0,109.0,0.0,2313.4,36485.600000000006,0.0
49.0,110.0,0.0,2313.4,36514.600000000006,0.0
47.0,109.0,0.0,2202.4,36491.600000000006,0.0
48.0,109.0,0.0,2427.4,36491.600000000006,0.0
48.0,110.0,0.0,2427.4,36496.600000000006,0.0
48.0,110.0,0.0,2427.4,36496.600000000006,0.0
46.0,111.0,0.0,2386.4,36502.600000000006,0.0
47.0,111.0,0.0,2421.4,36502.600000000006,0.0
48.0,111.0,0.0,2447.4,36502.600000000006,0.0
48.0,112.0,0.0,2447.4,36792.600000000006,0.0
48.0,113.0,0.0,2447.4,36792.600000000006,0.0
48.0,114.0,0.0,2447.4,36802.50000000001,0.0
48.0,115.0,0.0,2447.4,38602.50000000001,0.0
48.0,113.0,0.0,2447.4,38187.50000000001,0.0
49.0,113.0,0.0,2455.5,38187.50000000001,0.0
49.0,112.0,0.0,2455.5,37737.50000000001,0.0
49.0,111.0,0.0,2455.5,36537.50000000001,0.0
49.0,112.0,0.0,2455.5,36568.50000000001,0.0
49.0,113.0,0.0,2455.5,36574.80000000001,0.0
50.0,111.0,0.0,2520.5,36388.50000000001,0.0
50.0,111.0,0.0,2520.5,36388.50000000001,0.0
51.0,110.0,0.0,2720.5,34588.50000000001,0.0
50.0,106.0,0.0,2695.5,33864.50000000001,0.0
50.0,105.0,0.0,2695.5,33264.50000000001,0.0
50.0,105.0,0.0,2695.5,33264.50000000001,0.0
51.0,105.0,0.0,2698.8,33264.50000000001,0.0
51.0,98.0,0.0,2698.8,31033.40000000001,0.0
51.0,99.0,0.0,2698.8,31335.40000000001,0.0
51.0,99.0,0.0,2698.8,31335.40000000001,0.0
51.0,100.0,0.0,2698.8,31339.40000000001,0.0
52.0,100.0,0.0,2700.4,31339.40000000001,0.0
52.0,98.0,0.0,2700.4,29693.90000000001,0.0
48.0,96.0,0.0,2490.4,28565.90000000001,0.0
47.0,97.0,0.0,2490.4,28585.90000000001,0.0
47.0,98.0,0.0,2490.4,28710.90000000001,0.0
48.0,98.0,0.0,2640.4,28710.90000000001,0.0
49.0,98.0,0.0,2826.4,28710.90000000001,0.0
49.0,99.0,0.0,2826.4,28721.90000000001,0.0
49.0,100.0,0.0,2826.4,28871.90000000001,0.0
49.0,101.0,0.0,2826.4,28878.90000000001,0.0
49.0,102.0,0.0,2826.4,29478.90000000001,0.0
49.0,103.0,0.0,2826.4,30028.90000000001,0.0
49.0,104.0,0.0,2826.4,30578.90000000001,0.0
50.0,104.0,0.0,3026.4,30578.90000000001,0.0
46.0,100.0,0.0,3014.4,30555.000000000007,0.0
46.0,101.0,0.0,3014.4,30564.000000000007,0.0
46.0,102.0,0.0,3014.4,30571.000000000007,0.0
46.0,101.0,0.0,3014.4,30564.847000000005,0.0
46.0,100.0,0.0,3018.4,30529.847000000005,0.0
47.0,100.0,0.0,3143.4,30529.847000000005,0.0
46.0,99.0,0.0,3143.4,30613.847000000005,0.0
46.0,100.0,0.0,3143.4,30619.847000000005,0.0
46.0,101.0,0.0,3143.4,30634.847000000005,0.0
46.0,101.0,0.0,3143.4,30701.847000000005,0.0
46.0,101.0,0.0,3143.4,30701.847000000005,0.0
47.0,98.0,0.0,3167.4,29964.847000000005,0.0
48.0,95.0,0.0,3317.4,28417.847000000005,0.0
48.0,96.0,0.0,3317.4,28421.847000000005,0.0
48.0,97.0,0.0,3317.4,28424.847000000005,0.0
48.0,97.0,0.0,3317.4,28343.847000000005,0.0
49.0,97.0,0.0,3319.0,28343.847000000005,0.0
49.0,95.0,0.0,3325.6,27593.847000000005,0.0
50.0,95.0,0.0,3355.6,27593.847000000005,0.0
51.0,95.0,0.0,3385.6,27593.847000000005,0.0
52.0,95.0,0.0,3438.6,27593.847000000005,0.0
53.0,95.0,0.0,3449.6,27593.847000000005,0.0
54.0,95.0,0.0,3502.6,27593.847000000005,0.0
54.0,96.0,0.0,3502.6,27595.547000000006,0.0
54.0,97.0,0.0,3502.6,27599.147000000004,0.0
54.0,98.0,0.0,3502.6,27639.147000000004,0.0
55.0,98.0,0.0,3542.6,27639.147000000004,0.0
55.0,99.0,0.0,3542.6,27644.147000000004,0.0
56.0,99.0,0.0,3592.6,27644.147000000004,0.0
56.0,100.0,0.0,3592.6,27649.147000000004,0.0
57.0,100.0,0.0,3652.6,27649.147000000004,0.0
58.0,100.0,0.0,3702.6,27649.147000000004,0.0
59.0,100.0,0.0,3782.6,27649.147000000004,0.0
60.0,100.0,0.0,3902.6,27649.147000000004,0.0
61.0,100.0,0.0,3952.6,27649.147000000004,0.0
61.0,101.0,0.0,3952.6,27899.147000000004,0.0
61.0,102.0,0.0,3952.6,27908.147000000004,0.0
61.0,103.0,0.0,3952.6,28208.147000000004,0.0
61.0,103.0,0.0,3952.6,29406.647000000004,0.0
61.0,104.0,0.0,3952.6,30606.647000000004,0.0
61.0,105.0,0.0,3952.6,31806.647000000004,0.0
