q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
330,withdrawn,2010-05-10,,,rutland,Biomass,,,33.0,,
331,operational,2010-05-13,,,new haven,Gas,,,104.0,,
332,operational,2010-05-13,,,providence,Gas,,,625.0,,
338,withdrawn,2010-05-14,2012-11-19,,hillsborough,Wind,,,18.0,,
333,operational,2010-05-14,,,somerset,Wind,,,185.0,,
335,withdrawn,2010-05-14,,,hancock,Biomass,,,18.0,,
337,operational,2010-05-14,,2012-01-13,franklin,Oil,,,180.0,,
336,operational,2010-05-14,,2010-08-02,providence,Gas,,,492.0,,
334,withdrawn,2010-05-14,,,hampden,Wind,,,30.0,,
339,withdrawn,2010-06-09,,,providence,Gas,,,492.0,,
340,withdrawn,2010-06-24,,,bennington,Biomass,,,33.0,,
342,operational,2010-07-21,,2011-06-14,providence,Gas,,,510.0,,
343,withdrawn,2010-08-10,,,plymouth,Nuclear,,,0.0,,
344,operational,2010-09-07,,2011-09-30,hampden,Gas,,,280.0,,
345,operational,2010-09-08,,,grafton,Wind,,,48.0,,
346,operational,2010-10-01,,2014-06-17,coos,Biomass,,,68.0,,
347,operational,2010-10-07,,,hancock,Biomass,,,25.0,,
349,operational,2010-10-20,,,penobscot,Wind,,,9.0,,
350,withdrawn,2010-11-10,2013-11-15,,washington,Wind,,,92.0,,
351,operational,2010-12-03,,2011-04-26,androscoggin,Hydro,,,39.0,,
352,operational,2010-12-14,,,essex,Coal,,,753.0,,
353,withdrawn,2010-12-21,,,plymouth,Wind,,,9.9,,
354,withdrawn,2011-01-12,,,berkshire,Oil,,,185.0,,
356,operational,2011-02-04,,2012-06-29,berkshire,Oil,,,193.0,,
357,operational,2011-02-24,,2016-05-23,penobscot,Wind,,,40.0,,
358,operational,2011-03-04,,2011-11-04,penobscot,Hydro,,,8.9,,
359,operational,2011-03-07,,2011-07-13,franklin,Hydro,,,0.0,,
361,withdrawn,2011-03-14,,,west rutland,Wind,,,20.0,,
362,operational,2011-03-22,,2011-11-04,penobscot,Hydro,,,9.1,,
363,withdrawn,2011-03-31,,,bristol,Solar,,,6.0,,
364,withdrawn,2011-04-07,,,hampden,Solar,,,4.9,,
366,operational,2011-05-23,,2016-03-30,somerset,Hydro,,,30.0,,
367,operational,2011-05-26,,,orleans,Wind,,,65.0,,
368,withdrawn,2011-05-27,,,hillsborough,Wind,,,10.0,,
369,withdrawn,2011-06-08,2011-11-28,,fairfield,Gas,,,775.0,,
370,operational,2011-07-01,,,new haven,Hydro,,,0.0,,
371,withdrawn,2011-08-01,,,hillsborough,Wind,,,33.0,,
372,operational,2011-08-03,,,york,Hydro,,,21.0,,
373,withdrawn,2011-08-12,,,hampden,Oil,,,550.0,,
374,operational,2011-08-24,,2012-05-20,bristol,Coal,,,0.0,,
375,withdrawn,2011-09-07,,,merrimack,Wind,,,80.0,,
377,operational,2011-09-14,,,worcester,Solar,,,9.8,,
379,withdrawn,2011-10-19,,,hampden,Solar,,,4.9,,
381,withdrawn,2011-11-14,2013-10-21,,lincoln,Wind,,,12.0,,
382,withdrawn,2011-12-05,2012-11-20,,oxford,Wind,,,80.0,,
383,withdrawn,2011-12-22,,,franklin,Wind,,,198.0,,
384,operational,2011-12-29,,2018-05-21,new haven,Oil,,,775.0,,
385,withdrawn,2012-01-06,,,calendonia,Wind,,,60.0,,
386,operational,2012-01-12,,2013-01-31,york,Gas,,,597.0,,
387,operational,2012-01-13,,2013-02-28,new haven,Gas,,,250.0,,
388,withdrawn,2012-01-13,,,fairfield,Gas,,,700.0,,
389,withdrawn,2012-01-17,,,fairfield,Solar,,,5.0,,
390,withdrawn,2012-01-30,,,grafton,Wind,,,51.0,,
391,operational,2012-02-02,,2015-07-31,somerset,Hydro,,,15.0,,
392,withdrawn,2012-03-28,,,coos,Wind,,,2.7,,
393,withdrawn,2012-05-07,2015-10-28,,somerset,Wind,,,84.0,,
394,operational,2012-07-25,,,fairfield,Gas,,,5.6,,
395,withdrawn,2012-07-30,2012-10-24,,windham,Solar,,,2.2,,
396,operational,2012-08-28,,,berkshire,Wind,,,20.0,,
397,operational,2012-08-30,,,hancock,Wind,,,51.0,,
398,operational,2012-09-04,,2013-12-05,bristol,Gas,,,197.0,,
399,withdrawn,2012-10-01,,,franklin,Wind,,,34.0,,
400,withdrawn,2012-10-03,,,washington,Wind,,,90.0,,
401,withdrawn,2012-10-05,,,washington,Wind,,,20.0,,
402,operational,2012-10-16,,2013-03-01,windham,Hydro,,,0.31,,
403,operational,2012-12-06,,,penobscot,Wind,,,9.1,,
404,operational,2013-01-08,,2017-06-28,suffolk,Oil,,,106.0,,
405,operational,2013-01-18,,2016-12-09,washington,Wind,,,29.0,,
411,operational,2013-02-28,,,essex,Oil,,,46.0,,
409,withdrawn,2013-02-28,,,norfolk,Oil,,,208.0,,
408,withdrawn,2013-02-28,,,middlesex,Oil,,,208.0,,
412,operational,2013-02-28,,2019-06-10,fairfield,Oil,,,533.0,,
414,operational,2013-03-26,,2014-06-17,rockingham,Gas,,,595.0,,
415,operational,2013-04-12,,2016-01-23,coos,Wind,,,8.6,,
416,withdrawn,2013-04-23,,,coos,Wind,,,18.0,,
417,withdrawn,2013-04-25,,,aroostook,Wind,,,250.0,,
418,withdrawn,2013-05-01,,,windsor,Oil,,,37.0,,
419,withdrawn,2013-05-02,,,franklin,Wind,,,33.0,,
420,operational,2013-07-15,,,hancock,Wind,,,73.0,,
423,withdrawn,2013-09-10,,,merrimack,Wind,,,74.0,,
424,withdrawn,2013-09-11,,,hampden,Hydro,,,0.65,,
429,withdrawn,2013-12-02,,,lincoln,Offshore Wind,,,12.0,,
433,operational,2014-01-24,,2014-04-21,suffolk,Oil,,,66.0,,
435,withdrawn,2014-01-31,,,washington,Wind,,,104.0,,
436,withdrawn,2014-02-05,,,fairfield,Oil,,,335.0,,
437,operational,2014-02-10,,2016-01-23,coos,Wind,,,0.0,,
439,withdrawn,2014-02-24,,,essex,Gas,,,483.0,,
440,operational,2014-02-24,,2018-05-09,new haven,Gas,,,350.0,,
438,withdrawn,2014-02-24,,,norfolk,Gas,,,65.0,,
441,operational,2014-02-25,,,berkshire,Hydro,,,0.19,,
442,withdrawn,2014-02-26,2015-12-28,,hampden,Oil,,,422.0,,
450,withdrawn,2014-03-04,,,fairfield,Oil,,,245.0,,
448,withdrawn,2014-03-04,,,new london,Gas,,,5.6,,
451,withdrawn,2014-03-04,,,fairfield,Oil,,,345.0,,
449,operational,2014-03-04,,2019-06-15,barnstable,Oil,,,336.0,,
