q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
223,withdrawn,2007-05-29,,,san bernardino,Wind,,,170.0,,
224,withdrawn,2007-05-30,,,san diego,Gas,,,99.0,,
225,withdrawn,2007-06-04,,,riverside,Gas,,,640.0,,
226,withdrawn,2007-06-05,,,san diego,Gas,,,620.0,,
227,withdrawn,2007-06-14,,,marin,Wind,,,175.0,,
228,withdrawn,2007-06-20,2007-10-22,,alameda,Gas,,,630.0,,
230,withdrawn,2007-06-21,,,san bernardino,Solar,,,1000.0,,
229,withdrawn,2007-06-21,,,san bernardino,Solar,,,1000.0,,
231,withdrawn,2007-06-25,2008-11-26,,riverside,Wind,,,50.0,,
232,withdrawn,2007-06-26,,,san diego,Gas,,,99.0,,
234,withdrawn,2007-06-27,,,clark,Steam Turbine,,,400.0,,
233,operational,2007-06-27,,,san bernardino,Steam Turbine,,,132.0,,
236,withdrawn,2007-06-29,2008-11-26,,san joaquin,Gas,,,630.0,,
235,withdrawn,2007-06-29,2008-11-26,,contra costa,Gas,,,630.0,,
237,withdrawn,2007-07-02,2008-11-24,,clark,Gas,,,634.0,,
238,withdrawn,2007-07-11,2008-11-26,,san luis obispo,Solar,,,45.0,,
239,operational,2007-07-11,,2014-02-13,san luis obispo,Solar,,,250.0,,
240,withdrawn,2007-07-12,,,san bernardino,Steam Turbine,,,400.0,,
241,withdrawn,2007-07-12,,,san bernardino,Steam Turbine,,,400.0,,
242,operational,2007-07-13,,,san luis obispo,Solar,,,150.0,,
244,withdrawn,2007-07-16,2008-11-26,,kern,Wind,,,120.0,,
245,withdrawn,2007-07-16,2008-11-26,,riverside,Wind,,,228.0,,
243,withdrawn,2007-07-16,2008-11-26,,san bernardino,Wind,,,429.0,,
246,withdrawn,2007-07-17,2008-11-26,,kern,Wind,,,120.0,,
250,withdrawn,2007-07-30,,,lake,Wind,,,66.0,,
249,withdrawn,2007-07-30,2008-11-26,,monterey,Wind,,,105.0,,
247,withdrawn,2007-07-30,,,madera,Gas,,,67.0,,
248,withdrawn,2007-07-30,,,san joaquin,Gas,,,67.0,,
251,withdrawn,2007-08-01,2008-11-26,,riverside,Solar,,,200.0,,
252,operational,2007-08-06,,2010-02-07,los angeles,Steam Turbine,,,26.0,,
253,withdrawn,2007-08-13,2008-11-26,,santa barbara,Wind,,,40.0,,
254,withdrawn,2007-08-21,,,kings,Gas,,,600.0,,
256,withdrawn,2007-08-23,,,fresno,Solar,,,30.0,,
255,withdrawn,2007-08-23,,,kern,Steam Turbine,,,250.0,,
257,withdrawn,2007-09-10,,,solano,Gas,,,575.0,,
258,withdrawn,2007-09-12,,,contra costa,Gas,,,651.0,,
260,withdrawn,2007-09-12,2008-11-26,,san joaquin,Gas,,,260.0,,
259,withdrawn,2007-09-12,2008-12-11,,sutter,Gas,,,345.0,,
261,withdrawn,2007-09-28,2008-11-26,,los angeles,Gas,,,104.0,,
261A,operational,2007-10-09,,2010-04-20,fresno,Solar,,,5.0,,
263,withdrawn,2007-10-10,,,clark,Gas,,,634.0,,
262,withdrawn,2007-10-10,,,solano,Gas,,,391.0,,
264,withdrawn,2007-10-15,2009-12-17,,san bernardino,Wind,,,300.0,,
265,withdrawn,2007-10-16,,,riverside,Solar,,,25.0,,
266,withdrawn,2007-10-19,2008-11-26,,sutter,Gas,,,325.0,,
267,operational,2007-10-23,,2012-07-16,san joaquin,Gas,,,280.0,,
268,operational,2007-10-24,,2012-05-31,san joaquin,Steam Turbine,,,145.0,,
269,withdrawn,2007-10-31,,,san joaquin,Gas,,,371.0,,
272,active,2007-11-01,,,kings,Solar,Battery,,123.0,74.0,
273,withdrawn,2007-11-01,,,kings,Gas,,,99.0,,
271,withdrawn,2007-11-01,,,san bernardino,Solar,,,400.0,,
270,withdrawn,2007-11-01,,,riverside,Solar,,,700.0,,
274,operational,2007-11-05,,2008-08-24,san diego,Gas,,,54.0,,
275,withdrawn,2007-11-07,,,solano,Gas,,,630.0,,
276,withdrawn,2007-11-09,2008-11-18,,contra costa,Gas,,,650.0,,
277,withdrawn,2007-11-15,,,san bernardino,Wind,,,75.0,,
280,withdrawn,2007-11-30,2008-11-18,,mendocino,Hydro,,,40.0,,
279,withdrawn,2007-11-30,,,humboldt,Hydro,,,40.0,,
281,withdrawn,2007-12-03,,,san joaquin,Gas,,,500.0,,
283,withdrawn,2007-12-12,,,fresno,Steam Turbine,,,107.0,,
282,withdrawn,2007-12-12,,,madera,Steam Turbine,,,29.0,,
284,withdrawn,2007-12-13,2008-11-26,,mendocino,Gas,,,115.0,,
285,withdrawn,2007-12-13,2008-11-26,,san bernardino,Wind,,,150.0,,
286,withdrawn,2007-12-20,,,imperial,Steam Turbine,,,375.0,,
289,withdrawn,2007-12-21,,,san bernardino,Steam Turbine,,,375.0,,
287,withdrawn,2007-12-21,,,kern,Steam Turbine,,,231.0,,
288,withdrawn,2007-12-21,,,san luis obispo,Solar,,,375.0,,
