q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
25INR0225,active,2023-06-28,,,concho,Solar,,,351.0,,
24INR0437,active,2023-06-28,,,franklin,Solar,Battery,,344.0,147.0,
26INR0117,active,2023-06-28,,,brazoria,Solar,Battery,,163.0,,
24INR0591,active,2023-06-30,,,hidalgo,Battery,,,9.9,,
24INR0602,active,2023-07-06,,,guadalupe,Gas,,,3.1,,
27INR0063,active,2023-07-10,,,hardeman,Wind,,,206.0,,
25INR0487,active,2023-07-10,,,fort bend,Battery,,,50.0,,
26INR0178,active,2023-07-10,,,navarro,Solar,,,175.0,,
24INR0555,active,2023-07-10,,,dewitt,Battery,,,87.0,,
26INR0186,withdrawn,2023-07-10,2023-10-25,,dallas,Battery,,,169.0,,
28INR0012,active,2023-07-10,,,crockett,Wind,Battery,,257.0,,
26INR0180,active,2023-07-10,,,navarro,Battery,,,151.0,,
24INR0557,active,2023-07-10,,,pecos,Battery,,,23.0,,
28INR0007,active,2023-07-10,,,zapata,Solar,,,350.0,,
24INR0584,active,2023-07-10,,,harris,Battery,,,169.0,,
24INR0459,active,2023-07-10,,,caldwell,Battery,,,202.0,,
25INR0471,active,2023-07-10,,,smith,Battery,,,305.0,,
28INR0013,active,2023-07-10,,,limestone,Solar,,,305.0,,
24INR0598,active,2023-07-12,,,hidalgo,Battery,,,9.9,,
23INR0539,active,2023-07-12,,,san patricio,Battery,,,9.8,,
23INR0498,active,2023-07-14,,,hidalgo,Battery,,,9.8,,
25INR0400,active,2023-07-18,,,scurry,Solar,,,184.0,,
25INR0453,withdrawn,2023-07-18,2023-10-25,,dallas,Battery,,,228.0,,
25INR0464,active,2023-07-18,,,red river,Solar,Battery,,151.0,50.0,
29INR0003,active,2023-07-18,,,deaf smith,Solar,,,485.0,,
26INR0153,active,2023-07-18,,,bee,Solar,Battery,,534.0,268.0,
26INR0113,active,2023-07-18,,,gray,Wind,,,837.0,,
28INR0005,active,2023-07-28,,,zapata,Solar,,,350.0,,
25INR0430,active,2023-07-31,,,mitchell,Solar,,,250.0,,
25INR0455,active,2023-07-31,,,nueces,Battery,,,147.0,,
25INR0456,active,2023-07-31,,,waller,Battery,,,301.0,,
26INR0155,active,2023-07-31,,,refugio,Solar,Battery,,1026.0,511.0,
26INR0184,active,2023-07-31,,,lamar,Battery,,,201.0,,
25INR0461,active,2023-07-31,,,childress,Solar,Battery,,100.0,,
26INR0146,active,2023-07-31,,,haskell,Solar,Battery,,126.0,,
25INR0501,active,2023-07-31,,,kinney,Solar,Battery,,201.0,,
26INR0189,active,2023-07-31,,,brazoria,Battery,,,154.0,,
25INR0475,active,2023-07-31,,,mills,Battery,,,206.0,,
25INR0318,active,2023-07-31,,,grayson,Solar,,,101.0,,
24INR0610,active,2023-08-01,,,tarrant,Battery,,,9.9,,
24INR0615,active,2023-08-04,,,matagorda,Battery,,,9.9,,
24INR0614,active,2023-08-04,,,reagan,Battery,,,9.9,,
26INR0199,withdrawn,2023-08-14,2023-12-14,,mills,Battery,,,201.0,,
26INR0185,active,2023-08-14,,,jack,Battery,,,201.0,,
27INR0068,active,2023-08-14,,,hidalgo,Battery,,,201.0,,
29INR0004,active,2023-08-14,,,deaf smith,Wind,,,623.0,,
26INR0138,active,2023-08-14,,,montague,Solar,Battery,,160.0,32.0,
27INR0052,active,2023-08-14,,,hill,Wind,,,226.0,,
26INR0161,active,2023-08-14,,,nacogdoches,Solar,Battery,,201.0,100.0,
26INR0215,active,2023-08-14,,,jack,Battery,,,201.0,,
23INR0500,active,2023-08-18,,,mason,Battery,,,9.8,,
25INR0513,active,2023-08-21,,,leon,Battery,,,201.0,,
25INR0395,active,2023-08-21,,,la salle,Battery,,,78.0,,
26INR0200,active,2023-08-21,,,grimes,Battery,,,201.0,,
25INR0497,active,2023-08-21,,,robertson,Solar,Battery,,82.0,50.0,
26INR0171,active,2023-08-21,,,hardeman,Solar,Battery,,252.0,252.0,
26INR0172,active,2023-08-21,,,hardeman,Solar,Battery,,252.0,252.0,
26INR0218,active,2023-08-21,,,coke,Battery,,,50.0,,
24INR0583,active,2023-08-22,,,victoria,Battery,,,9.9,,
24INR0609,active,2023-08-22,,,reeves,Battery,,,10.0,,
26INR0196,active,2023-09-07,,,duval,Solar,Battery,,150.0,,
26INR0269,active,2023-09-07,,,stonewall,Solar,,,810.0,,
27INR0053,active,2023-09-07,,,hill,Wind,,,226.0,,
25INR0511,active,2023-09-07,,,colorado,Solar,,,208.0,,
26INR0120,active,2023-09-08,,,zavala,Battery,,,225.0,,
26INR0252,active,2023-09-08,,,mclennan,Battery,,,104.0,,
25INR0495,active,2023-09-08,,,ellis,Battery,,,126.0,,
25INR0510,active,2023-09-08,,,lamar,Battery,,,102.0,,
26INR0247,active,2023-09-08,,,martin,Battery,,,241.0,,
27INR0065,active,2023-09-22,,,jones,Solar,,,355.0,,
26INR0147,active,2023-09-22,,,coryell,Solar,,,146.0,,
26INR0253,active,2023-09-22,,,van zandt,Solar,Battery,,151.0,100.0,
26INR0224,withdrawn,2023-09-22,2023-12-19,,van zandt,Solar,,,137.0,,
24INR0616,active,2023-09-22,,,bell,Battery,,,228.0,,
26INR0201,active,2023-09-22,,,fort bend,Battery,,,212.0,,
24INR0617,active,2023-09-23,,,maverick,Battery,,,186.0,,
24INR0484,active,2023-09-23,,,franklin,Solar,Battery,,101.0,51.0,
26INR0280,active,2023-09-23,,,wichita,Battery,,,174.0,,
26INR0179,active,2023-09-25,,,zavala,Battery,,,132.0,,
26INR0226,active,2023-10-04,,,brazoria,Battery,,,256.0,,
23INR0368,active,2023-10-04,,,parker,Solar,,,602.0,,
26INR0246,active,2023-10-04,,,kinney,Solar,Battery,,153.0,77.0,
26INR0219,active,2023-10-04,,,cooke,Battery,,,151.0,,
26INR0284,active,2023-10-04,,,limestone,Battery,,,102.0,,
26INR0282,active,2023-10-04,,,shackelford,Battery,,,307.0,,
26INR0231,active,2023-10-04,,,midland,Battery,,,205.0,,
25INR0553,withdrawn,2023-10-11,2023-10-11,,nueces,Battery,,,100.0,,
